Codex Accounts bundled OpenCodex runtime 2.7.33 (arm64)

This offline runtime contains third-party npm packages. Their original package
metadata and license files are preserved inside the bundled node_modules tree.
The inventory below is generated from the packaged package.json files.

PACKAGE INVENTORY
=================
@bitkyc08/opencodex 2.7.33 | MIT | @bitkyc08/opencodex | LICENSE
@bufbuild/protobuf 2.13.0 | (Apache-2.0 AND BSD-3-Clause) | @bufbuild/protobuf | see package metadata
@hono/node-server 1.19.14 | MIT | @hono/node-server | LICENSE
@modelcontextprotocol/sdk 1.29.0 | MIT | @modelcontextprotocol/sdk | LICENSE
@oven/bun-darwin-aarch64 1.3.14 | MIT | @oven/bun-darwin-aarch64 | see package metadata
accepts 2.0.0 | MIT | accepts | LICENSE
ajv 8.20.0 | MIT | ajv | LICENSE
ajv-formats 3.0.1 | MIT | ajv-formats | LICENSE
content-type 2.0.0 | MIT | body-parser/node_modules/content-type | LICENSE
body-parser 2.3.0 | MIT | body-parser | LICENSE
bun 1.3.14 | MIT | bun | see package metadata
bytes 3.1.2 | MIT | bytes | LICENSE
call-bind-apply-helpers 1.0.2 | MIT | call-bind-apply-helpers | LICENSE
call-bound 1.0.4 | MIT | call-bound | LICENSE
content-disposition 1.1.0 | MIT | content-disposition | LICENSE
content-type 1.0.5 | MIT | content-type | LICENSE
cookie 0.7.2 | MIT | cookie | LICENSE
cookie-signature 1.2.2 | MIT | cookie-signature | LICENSE
cors 2.8.6 | MIT | cors | LICENSE
cross-spawn 7.0.6 | MIT | cross-spawn | LICENSE
debug 4.4.3 | MIT | debug | LICENSE
depd 2.0.0 | MIT | depd | LICENSE
dunder-proto 1.0.1 | MIT | dunder-proto | LICENSE
ee-first 1.1.1 | MIT | ee-first | LICENSE
encodeurl 2.0.0 | MIT | encodeurl | LICENSE
es-define-property 1.0.1 | MIT | es-define-property | LICENSE
es-errors 1.3.0 | MIT | es-errors | LICENSE
es-object-atoms 1.1.2 | MIT | es-object-atoms | LICENSE
escape-html 1.0.3 | MIT | escape-html | LICENSE
etag 1.8.1 | MIT | etag | LICENSE
eventsource 3.0.7 | MIT | eventsource | LICENSE
eventsource-parser 3.1.0 | MIT | eventsource-parser | LICENSE
express 5.2.1 | MIT | express | LICENSE
express-rate-limit 8.6.0 | MIT | express-rate-limit | license.md
fast-deep-equal 3.1.3 | MIT | fast-deep-equal | LICENSE
benchmark 1.0.0 | ISC | fast-uri/benchmark | see package metadata
fast-uri 3.1.4 | BSD-3-Clause | fast-uri | LICENSE
finalhandler 2.1.1 | MIT | finalhandler | LICENSE
forwarded 0.2.0 | MIT | forwarded | LICENSE
fresh 2.0.0 | MIT | fresh | LICENSE
function-bind 1.1.2 | MIT | function-bind | LICENSE
get-intrinsic 1.3.0 | MIT | get-intrinsic | LICENSE
get-proto 1.0.1 | MIT | get-proto | LICENSE
gopd 1.2.0 | MIT | gopd | LICENSE
has-symbols 1.1.0 | MIT | has-symbols | LICENSE
hasown 2.0.4 | MIT | hasown | LICENSE
hono 4.12.31 | MIT | hono | LICENSE
http-errors 2.0.1 | MIT | http-errors | LICENSE
iconv-lite 0.7.3 | MIT | iconv-lite | LICENSE
inherits 2.0.4 | ISC | inherits | LICENSE
ip-address 10.2.0 | MIT | ip-address | LICENSE
ipaddr.js 1.9.1 | MIT | ipaddr.js | LICENSE
is-promise 4.0.0 | MIT | is-promise | LICENSE
isexe 2.0.0 | ISC | isexe | LICENSE
jose 6.2.4 | MIT | jose | LICENSE.md
json-schema-traverse 1.0.0 | MIT | json-schema-traverse | LICENSE
json-schema-typed 8.0.2 | BSD-2-Clause | json-schema-typed | LICENSE.md
math-intrinsics 1.1.0 | MIT | math-intrinsics | LICENSE
media-typer 1.1.0 | MIT | media-typer | LICENSE
merge-descriptors 2.0.0 | MIT | merge-descriptors | license
mime-db 1.54.0 | MIT | mime-db | LICENSE
mime-types 3.0.2 | MIT | mime-types | LICENSE
ms 2.1.3 | MIT | ms | license.md
negotiator 1.0.0 | MIT | negotiator | LICENSE
object-assign 4.1.1 | MIT | object-assign | license
object-inspect 1.13.4 | MIT | object-inspect | LICENSE
on-finished 2.4.1 | MIT | on-finished | LICENSE
once 1.4.0 | ISC | once | LICENSE
parseurl 1.3.3 | MIT | parseurl | LICENSE
path-key 3.1.1 | MIT | path-key | license
path-to-regexp 8.4.2 | MIT | path-to-regexp | LICENSE
pkce-challenge 5.0.1 | MIT | pkce-challenge | LICENSE
proxy-addr 2.0.7 | MIT | proxy-addr | LICENSE
qs 6.15.3 | BSD-3-Clause | qs | LICENSE.md
range-parser 1.3.0 | MIT | range-parser | LICENSE
raw-body 3.0.2 | MIT | raw-body | LICENSE
require-from-string 2.0.2 | MIT | require-from-string | license
router 2.2.0 | MIT | router | LICENSE
safer-buffer 2.1.2 | MIT | safer-buffer | LICENSE
send 1.2.1 | MIT | send | LICENSE
serve-static 2.2.1 | MIT | serve-static | LICENSE
setprototypeof 1.2.0 | ISC | setprototypeof | LICENSE
shebang-command 2.0.0 | MIT | shebang-command | license
shebang-regex 3.0.0 | MIT | shebang-regex | license
side-channel 1.1.1 | MIT | side-channel | LICENSE
side-channel-list 1.0.1 | MIT | side-channel-list | LICENSE
side-channel-map 1.0.1 | MIT | side-channel-map | LICENSE
side-channel-weakmap 1.0.2 | MIT | side-channel-weakmap | LICENSE
statuses 2.0.2 | MIT | statuses | LICENSE
toidentifier 1.0.1 | MIT | toidentifier | LICENSE
content-type 2.0.0 | MIT | type-is/node_modules/content-type | LICENSE
type-is 2.1.0 | MIT | type-is | LICENSE
unpipe 1.0.0 | MIT | unpipe | LICENSE
vary 1.1.2 | MIT | vary | LICENSE
which 2.0.2 | ISC | which | LICENSE
wrappy 1.0.2 | ISC | wrappy | LICENSE
zod 4.4.3 | MIT | zod | LICENSE
zod-to-json-schema 3.25.2 | ISC | zod-to-json-schema | LICENSE
